hwllo wordld2,霸王别姬,风华绝代。,https://movie.douban.com/subject/1291546/
hwllo wordld3,阿甘正传,一部美国近现代史。,https://movie.douban.com/subject/1292720/
hwllo wordld4,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
hwllo wordld5,泰坦尼克号,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
hwllo wordld6,美丽人生,最美的谎言。,https://movie.douban.com/subject/1292063/
hwllo wordld7,千与千寻,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
hwllo wordld8,辛德勒的名单,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
hwllo wordld9,盗梦空间,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
hwllo wordld10,忠犬八公的故事,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
hwllo wordld11,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
hwllo wordld12,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
hwllo wordld13,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
hwllo wordld14,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
hwllo wordld15,机器人总动员,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
hwllo wordld16,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
hwllo wordld17,大话西游之大圣娶亲,一生所爱。,https://movie.douban.com/subject/1292213/
hwllo wordld18,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
hwllo wordld19,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
hwllo wordld20,无间道,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
hwllo wordld21,龙猫,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
hwllo wordld22,教父,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
hwllo wordld23,当幸福来敲门,平民励志片。 ,https://movie.douban.com/subject/1849031/
hwllo wordld24,怦然心动,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
hwllo wordld25,触不可及,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/